iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ECU,South America,Ecuador,2021-08-17,493767.0,0.0,276.571,31870.0,0.0,11.714,27986.472,0.0,15.676,1806.376,0.0,0.664,0.67,,,,,,,,,3980.0,1624890.0,92.098,0.226,2628.0,0.149,0.149,6.7,people tested,14742430.0,9956777.0,4785653.0,,58104.0,198707.0,83.56,56.43,27.12,,11263.0,60.19,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,
EGY,Africa,Egypt,2021-08-17,285577.0,112.0,100.286,16630.0,5.0,6.0,2790.626,1.094,0.98,162.506,0.049,0.059,1.36,,,,,,,,,,,,,,,,,,6477535.0,4319631.0,2157904.0,,,106747.0,6.33,4.22,2.11,,1043.0,,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,
SLV,North America,El Salvador,2021-08-17,90129.0,0.0,251.143,2804.0,10.0,8.857,13895.499,0.0,38.72,432.302,1.542,1.366,1.03,,,,,,,,,,,,,,,,,,5327451.0,3273631.0,2053820.0,,92266.0,66979.0,82.14,50.47,31.66,,10326.0,32.41,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,
GNQ,Africa,Equatorial Guinea,2021-08-17,8972.0,0.0,3.0,123.0,0.0,0.0,6394.937,0.0,2.138,87.67,0.0,0.0,0.56,,,,,,,,,2355.0,185478.0,132.202,1.679,347.0,0.247,0.009,115.7,tests performed,325449.0,187837.0,137612.0,,,1128.0,23.2,13.39,9.81,,804.0,,1402985.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,
ERI,Africa,Eritrea,2021-08-17,6609.0,6.0,2.857,37.0,0.0,0.143,1863.566,1.692,0.806,10.433,0.0,0.04,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,3546427.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,
EST,Europe,Estonia,2021-08-17,137514.0,359.0,286.0,1279.0,0.0,0.286,103663.745,270.629,215.599,964.163,0.0,0.215,1.28,6.0,4.523,60.0,45.23,0.998,0.752,45.916,34.613,4982.0,1700677.0,1282.041,3.756,5281.0,3.981,0.052,19.1,tests performed,1219009.0,697468.0,521541.0,,4916.0,4956.0,91.89,52.58,39.32,,3736.0,,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,
SWZ,Africa,Eswatini,2021-08-17,37261.0,747.0,637.571,951.0,9.0,8.857,32117.011,643.874,549.553,819.712,7.758,7.634,1.11,,,,,,,,,,,,,,,,,,181290.0,96175.0,102749.0,,17170.0,11049.0,15.63,8.29,8.86,,9524.0,62.96,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,
ETH,Africa,Ethiopia,2021-08-17,290818.0,856.0,772.143,4495.0,6.0,7.857,2529.653,7.446,6.716,39.099,0.052,0.068,1.32,,,,,,,,,5173.0,3120043.0,27.139,0.045,6436.0,0.056,0.121,8.3,tests performed,2326531.0,2326531.0,,,12137.0,5027.0,2.02,2.02,,,44.0,43.52,114963583.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,
OWID_EUR,,Europe,2021-08-17,53901902.0,131333.0,127759.429,1156221.0,1494.0,1249.714,71995.909,175.419,170.646,1544.346,1.996,1.669,,,,,,,,,,,,,,,,,,,706739267.0,388642010.0,332091770.0,,2092239.0,3163381.0,94.4,51.91,44.36,,4225.0,,748680069.0,,,,,,,,,,,,,,,
OWID_EUN,,European Union,2021-08-17,35519989.0,72286.0,67810.143,748446.0,436.0,282.571,79834.721,162.47,152.41,1682.207,0.98,0.635,,,,,,,,,,,,,,,,,,,506759975.0,278752249.0,242185184.0,,1422583.0,1803159.0,113.9,62.65,54.43,,4053.0,,444919060.0,,,,,,,,,,,,,,,
