date,vaccine,total_vaccinations,location
2021-03-18,Oxford/AstraZeneca,1213328,Italy
2021-03-18,Pfizer/BioNTech,5995134,Italy
2021-03-19,Moderna,340952,Italy
2021-03-19,Oxford/AstraZeneca,1231963,Italy
2021-03-19,Pfizer/BioNTech,6141092,Italy
2021-03-20,Moderna,353392,Italy
2021-03-20,Oxford/AstraZeneca,1283172,Italy
2021-03-20,Pfizer/BioNTech,6253385,Italy
2021-03-21,Moderna,362993,Italy
2021-03-21,Oxford/AstraZeneca,1327914,Italy
2021-03-21,Pfizer/BioNTech,6329521,Italy
2021-03-22,Moderna,375036,Italy
2021-03-22,Oxford/AstraZeneca,1399020,Italy
2021-03-22,Pfizer/BioNTech,6442665,Italy
2021-03-23,Moderna,388821,Italy
2021-03-23,Oxford/AstraZeneca,1479640,Italy
2021-03-23,Pfizer/BioNTech,6574870,Italy
2021-03-24,Moderna,404447,Italy
2021-03-24,Oxford/AstraZeneca,1557378,Italy
2021-03-24,Pfizer/BioNTech,6738737,Italy
2021-03-25,Moderna,422892,Italy
2021-03-25,Oxford/AstraZeneca,1640337,Italy
2021-03-25,Pfizer/BioNTech,6908473,Italy
2021-03-26,Moderna,442225,Italy
2021-03-26,Oxford/AstraZeneca,1724119,Italy
2021-03-26,Pfizer/BioNTech,7077137,Italy
2021-03-27,Johnson&Johnson,2,Italy
2021-03-27,Moderna,471281,Italy
2021-03-27,Oxford/AstraZeneca,1792291,Italy
2021-03-27,Pfizer/BioNTech,7221036,Italy
2021-03-28,Moderna,488716,Italy
2021-03-28,Oxford/AstraZeneca,1848039,Italy
2021-03-28,Pfizer/BioNTech,7311462,Italy
2021-03-29,Moderna,513274,Italy
2021-03-29,Oxford/AstraZeneca,1921523,Italy
2021-03-29,Pfizer/BioNTech,7456998,Italy
2021-03-30,Johnson&Johnson,3,Italy
2021-03-30,Moderna,542396,Italy
2021-03-30,Oxford/AstraZeneca,1996622,Italy
2021-03-30,Pfizer/BioNTech,7622279,Italy
2021-03-31,Johnson&Johnson,18,Italy
2021-03-31,Moderna,565829,Italy
2021-03-31,Oxford/AstraZeneca,2068664,Italy
2021-03-31,Pfizer/BioNTech,7833088,Italy
2021-04-01,Moderna,591003,Italy
2021-04-01,Oxford/AstraZeneca,2124642,Italy
2021-04-01,Pfizer/BioNTech,8039616,Italy
2021-04-02,Moderna,621558,Italy
2021-04-02,Oxford/AstraZeneca,2191163,Italy
2021-04-02,Pfizer/BioNTech,8225262,Italy
2021-04-03,Johnson&Johnson,19,Italy
2021-04-03,Moderna,657966,Italy
2021-04-03,Oxford/AstraZeneca,2238578,Italy
2021-04-03,Pfizer/BioNTech,8371761,Italy
2021-04-04,Moderna,669957,Italy
2021-04-04,Oxford/AstraZeneca,2276923,Italy
2021-04-04,Pfizer/BioNTech,8417610,Italy
2021-04-05,Johnson&Johnson,22,Italy
2021-04-05,Moderna,690151,Italy
2021-04-05,Oxford/AstraZeneca,2336092,Italy
2021-04-05,Pfizer/BioNTech,8509216,Italy
2021-04-06,Johnson&Johnson,34,Italy
2021-04-06,Moderna,730344,Italy
2021-04-06,Oxford/AstraZeneca,2421504,Italy
2021-04-06,Pfizer/BioNTech,8669150,Italy
2021-04-07,Johnson&Johnson,35,Italy
2021-04-07,Moderna,760376,Italy
2021-04-07,Oxford/AstraZeneca,2504347,Italy
2021-04-07,Pfizer/BioNTech,8887210,Italy
2021-04-08,Moderna,794732,Italy
2021-04-08,Oxford/AstraZeneca,2562128,Italy
2021-04-08,Pfizer/BioNTech,9133692,Italy
2021-04-09,Moderna,830398,Italy
2021-04-09,Oxford/AstraZeneca,2615240,Italy
2021-04-09,Pfizer/BioNTech,9380253,Italy
2021-04-10,Moderna,871491,Italy
2021-04-10,Oxford/AstraZeneca,2676173,Italy
2021-04-10,Pfizer/BioNTech,9599577,Italy
2021-04-11,Johnson&Johnson,38,Italy
2021-04-11,Moderna,889460,Italy
2021-04-11,Oxford/AstraZeneca,2713599,Italy
2021-04-11,Pfizer/BioNTech,9746405,Italy
2021-04-12,Moderna,914206,Italy
2021-04-12,Oxford/AstraZeneca,2792353,Italy
2021-04-12,Pfizer/BioNTech,9910450,Italy
2021-04-13,Moderna,942335,Italy
2021-04-13,Oxford/AstraZeneca,2888104,Italy
2021-04-13,Pfizer/BioNTech,10075463,Italy
2021-04-14,Johnson&Johnson,40,Italy
2021-04-14,Moderna,969466,Italy
2021-04-14,Oxford/AstraZeneca,2989049,Italy
2021-04-14,Pfizer/BioNTech,10268280,Italy
2021-04-15,Moderna,994559,Italy
2021-04-15,Oxford/AstraZeneca,3079902,Italy
2021-04-15,Pfizer/BioNTech,10504416,Italy
2021-04-16,Moderna,1016057,Italy
2021-04-16,Oxford/AstraZeneca,3187508,Italy
2021-04-16,Pfizer/BioNTech,10755690,Italy
2021-04-17,Moderna,1038433,Italy
2021-04-17,Oxford/AstraZeneca,3296323,Italy
2021-04-17,Pfizer/BioNTech,10984709,Italy
2021-04-18,Moderna,1051928,Italy
2021-04-18,Oxford/AstraZeneca,3369270,Italy
2021-04-18,Pfizer/BioNTech,11140724,Italy
2021-04-19,Moderna,1069157,Italy
2021-04-19,Oxford/AstraZeneca,3465722,Italy
2021-04-19,Pfizer/BioNTech,11338287,Italy
2021-04-20,Moderna,1093100,Italy
2021-04-20,Oxford/AstraZeneca,3562902,Italy
2021-04-20,Pfizer/BioNTech,11551024,Italy
2021-04-21,Moderna,1123315,Italy
2021-04-21,Oxford/AstraZeneca,3664975,Italy
2021-04-21,Pfizer/BioNTech,11792178,Italy
2021-04-22,Johnson&Johnson,330,Italy
2021-04-22,Moderna,1156324,Italy
2021-04-22,Oxford/AstraZeneca,3756597,Italy
2021-04-22,Pfizer/BioNTech,12066971,Italy
2021-04-23,Johnson&Johnson,872,Italy
2021-04-23,Moderna,1189008,Italy
2021-04-23,Oxford/AstraZeneca,3852919,Italy
2021-04-23,Pfizer/BioNTech,12342723,Italy
2021-04-24,Johnson&Johnson,3903,Italy
2021-04-24,Moderna,1231726,Italy
2021-04-24,Oxford/AstraZeneca,3946615,Italy
2021-04-24,Pfizer/BioNTech,12590530,Italy
2021-04-25,Johnson&Johnson,12652,Italy
2021-04-25,Moderna,1264399,Italy
2021-04-25,Oxford/AstraZeneca,4022454,Italy
2021-04-25,Pfizer/BioNTech,12741327,Italy
2021-04-26,Johnson&Johnson,21991,Italy
2021-04-26,Moderna,1303476,Italy
2021-04-26,Oxford/AstraZeneca,4087129,Italy
2021-04-26,Pfizer/BioNTech,12973017,Italy
2021-04-27,Johnson&Johnson,31803,Italy
2021-04-27,Moderna,1356945,Italy
2021-04-27,Oxford/AstraZeneca,4155018,Italy
2021-04-27,Pfizer/BioNTech,13215730,Italy
2021-04-28,Johnson&Johnson,40735,Italy
2021-04-28,Moderna,1411505,Italy
2021-04-28,Oxford/AstraZeneca,4232152,Italy
2021-04-28,Pfizer/BioNTech,13484402,Italy
2021-04-29,Johnson&Johnson,50830,Italy
2021-04-29,Moderna,1466423,Italy
2021-04-29,Oxford/AstraZeneca,4321084,Italy
2021-04-29,Pfizer/BioNTech,13860699,Italy
2021-04-30,Johnson&Johnson,65430,Italy
2021-04-30,Moderna,1514959,Italy
2021-04-30,Oxford/AstraZeneca,4407295,Italy
2021-04-30,Pfizer/BioNTech,14240212,Italy
2021-05-01,Johnson&Johnson,83263,Italy
2021-05-01,Moderna,1557532,Italy
2021-05-01,Oxford/AstraZeneca,4475189,Italy
2021-05-01,Pfizer/BioNTech,14545576,Italy
2021-05-02,Johnson&Johnson,94830,Italy
2021-05-02,Moderna,1588466,Italy
2021-05-02,Oxford/AstraZeneca,4539782,Italy
2021-05-02,Pfizer/BioNTech,14808891,Italy
2021-05-03,Johnson&Johnson,106683,Italy
2021-05-03,Moderna,1629025,Italy
2021-05-03,Oxford/AstraZeneca,4631878,Italy
2021-05-03,Pfizer/BioNTech,15077444,Italy
2021-05-04,Johnson&Johnson,118767,Italy
2021-05-04,Moderna,1689009,Italy
2021-05-04,Oxford/AstraZeneca,4748032,Italy
2021-05-04,Pfizer/BioNTech,15338845,Italy
2021-05-05,Johnson&Johnson,133071,Italy
2021-05-05,Moderna,1744053,Italy
2021-05-05,Oxford/AstraZeneca,4873137,Italy
2021-05-05,Pfizer/BioNTech,15627944,Italy
2021-05-06,Johnson&Johnson,146065,Italy
2021-05-06,Moderna,1792390,Italy
2021-05-06,Oxford/AstraZeneca,4984810,Italy
2021-05-06,Pfizer/BioNTech,15975817,Italy
2021-05-07,Johnson&Johnson,158580,Italy
2021-05-07,Moderna,1845439,Italy
2021-05-07,Oxford/AstraZeneca,5090151,Italy
2021-05-07,Pfizer/BioNTech,16349793,Italy
2021-05-08,Johnson&Johnson,175760,Italy
2021-05-08,Moderna,1906143,Italy
2021-05-08,Oxford/AstraZeneca,5194194,Italy
2021-05-08,Pfizer/BioNTech,16681489,Italy
2021-05-09,Johnson&Johnson,184788,Italy
2021-05-09,Moderna,1939175,Italy
2021-05-09,Oxford/AstraZeneca,5285397,Italy
2021-05-09,Pfizer/BioNTech,16932014,Italy
2021-05-10,Johnson&Johnson,192874,Italy
2021-05-10,Moderna,1981400,Italy
2021-05-10,Oxford/AstraZeneca,5394185,Italy
2021-05-10,Pfizer/BioNTech,17214366,Italy
2021-05-11,Johnson&Johnson,202721,Italy
2021-05-11,Moderna,2047387,Italy
2021-05-11,Oxford/AstraZeneca,5497310,Italy
2021-05-11,Pfizer/BioNTech,17492884,Italy
2021-05-12,Johnson&Johnson,211586,Italy
2021-05-12,Moderna,2109548,Italy
2021-05-12,Oxford/AstraZeneca,5598379,Italy
2021-05-12,Pfizer/BioNTech,17805598,Italy
2021-05-13,Johnson&Johnson,219775,Italy
2021-05-13,Moderna,2158252,Italy
2021-05-13,Oxford/AstraZeneca,5691053,Italy
2021-05-13,Pfizer/BioNTech,18185403,Italy
2021-05-14,Johnson&Johnson,227903,Italy
2021-05-14,Moderna,2208502,Italy
2021-05-14,Oxford/AstraZeneca,5788644,Italy
2021-05-14,Pfizer/BioNTech,18584397,Italy
2021-05-15,Johnson&Johnson,245835,Italy
2021-05-15,Moderna,2263742,Italy
2021-05-15,Oxford/AstraZeneca,5884935,Italy
2021-05-15,Pfizer/BioNTech,18959722,Italy
2021-05-16,Johnson&Johnson,262063,Italy
2021-05-16,Moderna,2299089,Italy
2021-05-16,Oxford/AstraZeneca,5964198,Italy
2021-05-16,Pfizer/BioNTech,19238957,Italy
