location,date,vaccine,total_vaccinations
Japan,2021-07-29,Pfizer/BioNTech,81656734.0
Japan,2021-07-29,Moderna,4984585.0
Japan,2021-07-30,Pfizer/BioNTech,82700623.0
Japan,2021-07-30,Moderna,5130661.0
Japan,2021-07-31,Pfizer/BioNTech,83804919.0
Japan,2021-07-31,Moderna,5276633.0
Japan,2021-08-01,Pfizer/BioNTech,84627215.0
Japan,2021-08-01,Moderna,5396425.0
Japan,2021-08-02,Pfizer/BioNTech,85373829.0
Japan,2021-08-02,Moderna,5506545.0
Japan,2021-08-03,Pfizer/BioNTech,86092639.0
Japan,2021-08-03,Moderna,5605114.0
Japan,2021-08-04,Pfizer/BioNTech,86647668.0
Japan,2021-08-04,Moderna,5687427.0
