date,age_group_min,age_group_max,total_vaccinations,location
2021-03-21,80,,860308.0,Chile
2021-03-21,51,60,1254273.0,Chile
2021-03-21,73,74,360548.0,Chile
2021-03-21,61,70,2158836.0,Chile
2021-03-21,31,40,958232.0,Chile
2021-03-21,41,50,939771.0,Chile
2021-03-21,78,79,255434.0,Chile
2021-03-22,78,79,257840.0,Chile
2021-03-22,73,74,364418.0,Chile
2021-03-22,61,70,2211460.0,Chile
2021-03-22,75,77,468654.0,Chile
2021-03-22,80,,868338.0,Chile
2021-03-22,31,40,1004822.0,Chile
2021-03-22,21,30,778213.0,Chile
2021-03-22,41,50,980681.0,Chile
2021-03-22,71,72,402456.0,Chile
2021-03-22,15,20,81836.0,Chile
2021-03-22,51,60,1307039.0,Chile
2021-03-23,41,50,1028672.0,Chile
2021-03-23,80,,875939.0,Chile
2021-03-23,78,79,259949.0,Chile
2021-03-23,51,60,1351780.0,Chile
2021-03-23,73,74,367533.0,Chile
2021-03-23,71,72,405965.0,Chile
2021-03-23,15,20,89901.0,Chile
2021-03-23,61,70,2248703.0,Chile
2021-03-23,75,77,472403.0,Chile
2021-03-23,31,40,1054217.0,Chile
2021-03-23,21,30,813572.0,Chile
2021-03-24,73,74,368469.0,Chile
2021-03-24,31,40,1066371.0,Chile
2021-03-24,61,70,2260147.0,Chile
2021-03-24,51,60,1382197.0,Chile
2021-03-24,41,50,1044403.0,Chile
2021-03-24,78,79,260626.0,Chile
2021-03-24,80,,878090.0,Chile
2021-03-24,71,72,407103.0,Chile
2021-03-24,15,20,91644.0,Chile
2021-03-24,75,77,473578.0,Chile
2021-03-24,21,30,821284.0,Chile
2021-03-25,80,,888055.0,Chile
2021-03-25,41,50,1105252.0,Chile
2021-03-25,75,77,478171.0,Chile
2021-03-25,51,60,1500539.0,Chile
2021-03-25,31,40,1124171.0,Chile
2021-03-25,73,74,372043.0,Chile
2021-03-25,15,20,100222.0,Chile
2021-03-25,78,79,263185.0,Chile
2021-03-25,71,72,411133.0,Chile
2021-03-25,61,70,2299075.0,Chile
2021-03-25,21,30,862003.0,Chile
2021-03-26,51,60,1577623.0,Chile
2021-03-26,73,74,373946.0,Chile
2021-03-26,61,70,2320988.0,Chile
2021-03-26,75,77,480589.0,Chile
2021-03-26,71,72,413513.0,Chile
2021-03-26,80,,893139.0,Chile
2021-03-26,31,40,1152691.0,Chile
2021-03-26,78,79,264598.0,Chile
2021-03-26,21,30,898839.0,Chile
2021-03-26,15,20,111172.0,Chile
2021-03-26,41,50,1134253.0,Chile
2021-03-27,41,50,1138267.0,Chile
