location,date,age_group_min,age_group_max,people_vaccinated
United States,2021-06-05,40,49,22155888
United States,2021-06-05,50,64,41358718
United States,2021-06-05,65,74,26068515
United States,2021-06-05,75,,18061608
United States,2021-06-06,0,18,6319768
United States,2021-06-06,1,29,22026539
United States,2021-06-06,30,39,21546688
United States,2021-06-06,40,49,22225386
United States,2021-06-06,50,64,41448743
United States,2021-06-06,65,74,26094996
United States,2021-06-06,75,,18076083
