date,location,vaccine,total_vaccinations
2021-05-25,Uruguay,Oxford/AstraZeneca,42858
2021-05-25,Uruguay,Pfizer/BioNTech,593774
2021-05-25,Uruguay,Sinovac,2014536
2021-05-26,Uruguay,Oxford/AstraZeneca,42918
2021-05-26,Uruguay,Pfizer/BioNTech,604172
2021-05-26,Uruguay,Sinovac,2042505
2021-05-27,Uruguay,Oxford/AstraZeneca,42918
2021-05-27,Uruguay,Pfizer/BioNTech,616490
2021-05-27,Uruguay,Sinovac,2069685
2021-05-28,Uruguay,Oxford/AstraZeneca,42947
2021-05-28,Uruguay,Pfizer/BioNTech,629846
2021-05-28,Uruguay,Sinovac,2093424
2021-05-29,Uruguay,Oxford/AstraZeneca,42948
2021-05-29,Uruguay,Pfizer/BioNTech,646003
2021-05-29,Uruguay,Sinovac,2102218
2021-05-30,Uruguay,Oxford/AstraZeneca,42948
2021-05-30,Uruguay,Pfizer/BioNTech,646005
2021-05-30,Uruguay,Sinovac,2103593
2021-05-31,Uruguay,Oxford/AstraZeneca,42948
2021-05-31,Uruguay,Pfizer/BioNTech,658880
2021-05-31,Uruguay,Sinovac,2136878
2021-06-01,Uruguay,Oxford/AstraZeneca,42948
2021-06-01,Uruguay,Pfizer/BioNTech,672017
2021-06-01,Uruguay,Sinovac,2169506
2021-06-02,Uruguay,Oxford/AstraZeneca,42949
2021-06-02,Uruguay,Pfizer/BioNTech,684948
2021-06-02,Uruguay,Sinovac,2201427
2021-06-03,Uruguay,Oxford/AstraZeneca,42950
2021-06-03,Uruguay,Pfizer/BioNTech,697923
2021-06-03,Uruguay,Sinovac,2232813
2021-06-04,Uruguay,Oxford/AstraZeneca,42958
2021-06-04,Uruguay,Pfizer/BioNTech,710911
2021-06-04,Uruguay,Sinovac,2263613
2021-06-05,Uruguay,Oxford/AstraZeneca,42958
2021-06-05,Uruguay,Pfizer/BioNTech,714219
2021-06-05,Uruguay,Sinovac,2274914
2021-06-06,Uruguay,Oxford/AstraZeneca,42959
2021-06-06,Uruguay,Pfizer/BioNTech,714220
2021-06-06,Uruguay,Sinovac,2275849
2021-06-07,Uruguay,Oxford/AstraZeneca,42960
2021-06-07,Uruguay,Pfizer/BioNTech,718821
2021-06-07,Uruguay,Sinovac,2311472
2021-06-08,Uruguay,Oxford/AstraZeneca,43018
2021-06-08,Uruguay,Pfizer/BioNTech,721854
2021-06-08,Uruguay,Sinovac,2346206
2021-06-09,Uruguay,Oxford/AstraZeneca,43018
2021-06-09,Uruguay,Pfizer/BioNTech,737507
2021-06-09,Uruguay,Sinovac,2379114
2021-06-10,Uruguay,Oxford/AstraZeneca,43061
2021-06-10,Uruguay,Pfizer/BioNTech,753170
2021-06-10,Uruguay,Sinovac,2407510
2021-06-11,Uruguay,Oxford/AstraZeneca,43062
