date,vaccine,total_vaccinations,location
2021-03-23,Oxford/AstraZeneca,1475548,Italy
2021-03-23,Pfizer/BioNTech,6556660,Italy
2021-03-24,Moderna,403491,Italy
2021-03-24,Oxford/AstraZeneca,1553097,Italy
2021-03-24,Pfizer/BioNTech,6720186,Italy
2021-03-25,Pfizer/BioNTech,6889340,Italy
2021-03-25,Moderna,421885,Italy
2021-03-25,Oxford/AstraZeneca,1635602,Italy
2021-03-26,Moderna,441147,Italy
2021-03-26,Oxford/AstraZeneca,1718927,Italy
2021-03-26,Pfizer/BioNTech,7057637,Italy
2021-03-27,Johnson&Johnson,2,Italy
2021-03-27,Moderna,470122,Italy
2021-03-27,Oxford/AstraZeneca,1786918,Italy
2021-03-27,Pfizer/BioNTech,7201312,Italy
2021-03-28,Moderna,487518,Italy
2021-03-28,Oxford/AstraZeneca,1842574,Italy
2021-03-28,Pfizer/BioNTech,7291551,Italy
2021-03-29,Moderna,512049,Italy
2021-03-29,Oxford/AstraZeneca,1915666,Italy
2021-03-29,Pfizer/BioNTech,7436595,Italy
2021-03-30,Oxford/AstraZeneca,1990475,Italy
2021-03-30,Moderna,541100,Italy
2021-03-30,Pfizer/BioNTech,7601346,Italy
2021-03-31,Pfizer/BioNTech,7811754,Italy
2021-03-31,Oxford/AstraZeneca,2062183,Italy
2021-03-31,Moderna,564460,Italy
2021-03-31,Johnson&Johnson,16,Italy
2021-04-01,Moderna,589575,Italy
2021-04-01,Oxford/AstraZeneca,2117951,Italy
2021-04-01,Pfizer/BioNTech,8017848,Italy
2021-04-02,Moderna,620077,Italy
2021-04-02,Oxford/AstraZeneca,2184266,Italy
2021-04-02,Pfizer/BioNTech,8203020,Italy
2021-04-03,Pfizer/BioNTech,8349357,Italy
2021-04-03,Oxford/AstraZeneca,2231592,Italy
2021-04-03,Johnson&Johnson,17,Italy
2021-04-03,Moderna,656363,Italy
2021-04-04,Moderna,668325,Italy
2021-04-04,Oxford/AstraZeneca,2269843,Italy
2021-04-04,Pfizer/BioNTech,8395130,Italy
2021-04-05,Moderna,688492,Italy
2021-04-05,Oxford/AstraZeneca,2328927,Italy
2021-04-05,Pfizer/BioNTech,8486628,Italy
2021-04-06,Pfizer/BioNTech,8646343,Italy
2021-04-06,Oxford/AstraZeneca,2414114,Italy
2021-04-06,Moderna,728609,Italy
2021-04-06,Johnson&Johnson,22,Italy
2021-04-07,Moderna,758568,Italy
2021-04-07,Oxford/AstraZeneca,2496528,Italy
2021-04-07,Pfizer/BioNTech,8859470,Italy
2021-04-08,Moderna,792669,Italy
2021-04-08,Oxford/AstraZeneca,2553793,Italy
2021-04-08,Pfizer/BioNTech,9103014,Italy
2021-04-09,Pfizer/BioNTech,9349294,Italy
2021-04-09,Oxford/AstraZeneca,2606781,Italy
2021-04-09,Moderna,828348,Italy
2021-04-10,Moderna,869392,Italy
2021-04-10,Oxford/AstraZeneca,2667678,Italy
2021-04-10,Pfizer/BioNTech,9568372,Italy
2021-04-11,Johnson&Johnson,25,Italy
2021-04-11,Moderna,887338,Italy
2021-04-11,Oxford/AstraZeneca,2705056,Italy
2021-04-11,Pfizer/BioNTech,9714965,Italy
2021-04-12,Pfizer/BioNTech,9878619,Italy
2021-04-12,Oxford/AstraZeneca,2783749,Italy
2021-04-12,Moderna,912043,Italy
2021-04-13,Moderna,940146,Italy
2021-04-13,Oxford/AstraZeneca,2879446,Italy
2021-04-13,Pfizer/BioNTech,10043342,Italy
2021-04-14,Johnson&Johnson,27,Italy
2021-04-14,Moderna,967229,Italy
2021-04-14,Oxford/AstraZeneca,2980286,Italy
2021-04-14,Pfizer/BioNTech,10235953,Italy
2021-04-15,Pfizer/BioNTech,10471667,Italy
2021-04-15,Moderna,992286,Italy
2021-04-15,Oxford/AstraZeneca,3071078,Italy
2021-04-16,Moderna,1013647,Italy
2021-04-16,Oxford/AstraZeneca,3178617,Italy
2021-04-16,Pfizer/BioNTech,10722553,Italy
2021-04-17,Pfizer/BioNTech,10951247,Italy
2021-04-17,Moderna,1035958,Italy
