date,vaccine,total_vaccinations,location
2021-05-11,Johnson&Johnson,18432,Czechia
2021-05-11,Moderna,371441,Czechia
2021-05-11,Oxford/AstraZeneca,415440,Czechia
2021-05-11,Pfizer/BioNTech,3020481,Czechia
2021-05-12,Pfizer/BioNTech,3089787,Czechia
2021-05-12,Oxford/AstraZeneca,422604,Czechia
2021-05-12,Johnson&Johnson,20001,Czechia
2021-05-12,Moderna,379638,Czechia
2021-05-13,Johnson&Johnson,21469,Czechia
2021-05-13,Moderna,386922,Czechia
2021-05-13,Oxford/AstraZeneca,429394,Czechia
2021-05-13,Pfizer/BioNTech,3164767,Czechia
2021-05-14,Johnson&Johnson,22553,Czechia
2021-05-14,Moderna,392155,Czechia
2021-05-14,Oxford/AstraZeneca,435071,Czechia
2021-05-14,Pfizer/BioNTech,3237569,Czechia
2021-05-15,Oxford/AstraZeneca,436987,Czechia
2021-05-15,Pfizer/BioNTech,3268510,Czechia
2021-05-15,Moderna,392867,Czechia
2021-05-15,Johnson&Johnson,22615,Czechia
2021-05-16,Johnson&Johnson,22642,Czechia
2021-05-16,Moderna,393563,Czechia
2021-05-16,Oxford/AstraZeneca,437762,Czechia
2021-05-16,Pfizer/BioNTech,3293752,Czechia
2021-05-17,Pfizer/BioNTech,3360986,Czechia
2021-05-17,Johnson&Johnson,23514,Czechia
2021-05-17,Moderna,398421,Czechia
2021-05-17,Oxford/AstraZeneca,442277,Czechia
2021-05-18,Johnson&Johnson,24496,Czechia
2021-05-18,Moderna,406144,Czechia
2021-05-18,Oxford/AstraZeneca,448109,Czechia
2021-05-18,Pfizer/BioNTech,3429437,Czechia
2021-05-19,Oxford/AstraZeneca,454316,Czechia
2021-05-19,Pfizer/BioNTech,3501671,Czechia
2021-05-19,Johnson&Johnson,25701,Czechia
2021-05-19,Moderna,416028,Czechia
2021-05-20,Oxford/AstraZeneca,460475,Czechia
2021-05-20,Pfizer/BioNTech,3580944,Czechia
2021-05-20,Johnson&Johnson,27311,Czechia
2021-05-20,Moderna,426049,Czechia
2021-05-21,Moderna,433166,Czechia
2021-05-21,Oxford/AstraZeneca,465704,Czechia
2021-05-21,Johnson&Johnson,28662,Czechia
2021-05-21,Pfizer/BioNTech,3656886,Czechia
