Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-07-25,MI,MIA,Michigan,9986857.0,Report,11915240.0,9742695,119309.0,97555.0,3953415.0,5449990.0,337871.0,1419.0,5269709.0,52.8,45.2,5006384.0,63.8,9253552.0,117986.0,151923.0,1511735.0,85.6,2866477.0,162370.0,674931.0,4511028.0,4288091.0,54.7,5025600.0,6237840.0,651800.0,0.0,1903843.0,2606425.0,343339.0,760.0,1903306.0,2384044.0,343128.0,741.0,721281.0,653277.0,62999.0,479.0,4854367,48.6,4631219.0,59.0,1438036.0,81.5,2776353.0,8595002.0,9742330.0,113349.0,138630.0,5269377.0,61.3,4510954.0,52.5,4854280.0,56.5,1903824.0,2606371.0,343326.0,759.0,9539277.0,,,,,
2021-07-25,MN,MNA,Minnesota,5639632.0,Report,6675470.0,6038257,118367.0,107068.0,2345269.0,3422438.0,269757.0,793.0,3292394.0,58.4,48.7,3091959.0,71.3,5658951.0,130497.0,153938.0,849097.0,92.3,1593706.0,173157.0,725293.0,2745348.0,2568217.0,59.2,2675800.0,3650370.0,349300.0,0.0,1111236.0,1633836.0,270648.0,276.0,1109192.0,1458760.0,270155.0,265.0,337790.0,415803.0,45732.0,62.0,3015996,53.5,2838372.0,65.5,799387.0,86.9,1517680.0,4778088.0,6018944.0,125970.0,139710.0,3281342.0,68.7,2737348.0,57.3,3007978.0,63.0,1111224.0,1625848.0,270630.0,276.0,5854968.0,,,,,
2021-07-25,MO,MOA,Missouri,6137428.0,Report,6430675.0,5380454,104778.0,87666.0,2027302.0,3170335.0,182279.0,538.0,2932888.0,47.8,37.8,2795558.0,58.6,5140271.0,107834.0,134904.0,871378.0,82.0,1663442.0,156627.0,605504.0,2322431.0,2226486.0,46.7,2631820.0,3487455.0,311400.0,0.0,920282.0,1402029.0,183140.0,120.0,920027.0,1306355.0,182978.0,104.0,360151.0,392928.0,34200.0,50.0,2505571,40.8,2409464.0,50.5,787329.0,74.1,1578047.0,5235715.0,5380113.0,102758.0,122823.0,2932548.0,56.0,2322398.0,44.4,2505523.0,47.9,920272.0,1402006.0,183125.0,120.0,5202449.0,,,,,
2021-07-25,MP,MPA,Northern Mariana Islands,56882.0,Report,76830.0,60205,135069.0,105842.0,8187.0,51499.0,519.0,0.0,31815.0,55.9,50.0,28526.0,64.4,54485.0,122980.0,173415.0,2799.0,29.0,5435.0,56391.0,797157.0,28417.0,25983.0,58.6,20200.0,54030.0,2600.0,0.0,3934.0,24483.0,525.0,0.0,3934.0,22049.0,525.0,0.0,438.0,2201.0,73.0,0.0,28942,50.9,26508.0,59.8,2712.0,28.1,5435.0,48576.0,60205.0,123940.0,158165.0,31815.0,65.5,28417.0,58.5,28942.0,59.6,3934.0,24483.0,525.0,0.0,60205.0,,,,,
2021-07-25,MS,MSA,Mississippi,2976149.0,Report,2767275.0,2107725,92982.0,70821.0,943989.0,1100087.0,62635.0,1014.0,1149917.0,38.6,32.1,1111394.0,48.8,2046175.0,89840.0,121501.0,379848.0,78.0,712317.0,146359.0,568587.0,955517.0,931750.0,40.9,1220260.0,1382415.0,164600.0,0.0,440626.0,514785.0,61661.0,106.0,440457.0,491190.0,61606.0,103.0,183811.0,153423.0,15213.0,40.0,1017178,34.2,993356.0,43.6,352487.0,72.4,687338.0,2521425.0,2107585.0,83587.0,109750.0,1149797.0,45.6,955484.0,37.9,1017138.0,40.3,440618.0,514760.0,61654.0,106.0,2026047.0,,,,,
2021-07-25,MT,MTA,Montana,1068778.0,Report,1129855.0,965041,105715.0,90294.0,430070.0,494271.0,40008.0,692.0,522988.0,48.9,40.4,500648.0,59.6,924871.0,110079.0,134476.0,171855.0,83.2,325450.0,157651.0,547312.0,432079.0,414720.0,49.4,503380.0,556875.0,69600.0,0.0,201625.0,230215.0,38893.0,239.0,201543.0,212939.0,38869.0,238.0,77578.0,74687.0,8193.0,133.0,470972,44.1,453589.0,54.0,160591.0,77.8,302312.0,917598.0,964901.0,105155.0,123132.0,522883.0,57.0,432050.0,47.1,470938.0,51.3,201609.0,230202.0,38888.0,239.0,897212.0,,,,,
2021-07-25,NC,NCA,North Carolina,10488084.0,Report,12017820.0,9617181,114585.0,91696.0,3793453.0,5462776.0,360511.0,441.0,5299126.0,50.5,40.1,5021665.0,61.3,9129141.0,111503.0,146785.0,1472683.0,84.1,2826630.0,161421.0,686304.0,4201699.0,3996819.0,48.8,4983780.0,6387540.0,646500.0,0.0,1717016.0,2484632.0,353971.0,51.0,1714370.0,2282399.0,352716.0,50.0,650621.0,655483.0,41632.0,33.0,4555670,43.4,4349535.0,53.1,1347769.0,77.0,2721949.0,8985519.0,9603309.0,106875.0,133747.0,5290443.0,58.9,4196542.0,46.7,4550492.0,50.6,1716923.0,2479568.0,353950.0,51.0,9189647.0,,,,,
2021-07-25,ND,NDA,North Dakota,762062.0,Report,730510.0,658571,95860.0,86420.0,278783.0,350040.0,29748.0,0.0,343384.0,45.1,36.4,329819.0,56.7,633072.0,108796.0,125541.0,100411.0,83.8,194613.0,162387.0,609546.0,277358.0,267287.0,45.9,319040.0,374970.0,36500.0,0.0,124962.0,152395.0,26726.0,1.0,124773.0,142513.0,26600.0,1.0,44328.0,41681.0,3569.0,0.0,304084,39.9,293887.0,50.5,89578.0,74.7,180192.0,637246.0,657537.0,103184.0,114635.0,342776.0,53.8,277015.0,43.5,303738.0,47.7,124957.0,152057.0,26723.0,1.0,610209.0,,,,,
2021-07-25,NE,NEA,Nebraska,1934408.0,Report,2150430.0,1923753,111167.0,99449.0,756176.0,1092894.0,70940.0,3743.0,1030681.0,53.3,45.5,973227.0,66.7,1820306.0,124821.0,147458.0,277634.0,88.9,551089.0,176372.0,688230.0,880393.0,834352.0,57.2,854000.0,1188330.0,108100.0,0.0,360903.0,518394.0,71175.0,1096.0,360774.0,472516.0,71123.0,1062.0,131029.0,129753.0,5716.0,708.0,951568,49.2,905475.0,62.1,267206.0,85.5,514335.0,1617408.0,1923462.0,118922.0,132955.0,1030450.0,63.7,880343.0,54.4,951501.0,58.8,360884.0,518364.0,71158.0,1095.0,1837099.0,,,,,
2021-07-25,NH,NHA,New Hampshire,1359711.0,Report,1892300.0,1581875,139169.0,116339.0,652865.0,868342.0,60646.0,22.0,873646.0,64.3,53.5,826748.0,74.9,1492738.0,135156.0,171333.0,240922.0,94.9,435707.0,171630.0,745399.0,727018.0,688581.0,62.3,760220.0,1015380.0,116700.0,0.0,316907.0,410081.0,61346.0,30.0,316661.0,371890.0,61295.0,30.0,94671.0,113291.0,13515.0,19.0,788364,58.0,749876.0,67.9,221496.0,87.2,424361.0,1198569.0,1581256.0,131929.0,157880.0,873198.0,72.9,726837.0,60.6,788158.0,65.8,316808.0,409999.0,61321.0,30.0,1556837.0,,,,,
